"mu","sigma","item_overlap","class_overlap","add_k","zipf_s","n_preferred","frac_detected","frac_ob_lt_ow","frac_ow_lt_ob","frac_tie","mean_ob_nobs","mean_ow_nobs","sd_ob_nobs","sd_ow_nobs","n_both","mean_log_ratio","sd_log_ratio","n_ob_lt_ow","frac_ob_lt_ow_ci_lo","frac_ob_lt_ow_ci_hi","frac_ow_lt_ob_ci_lo","frac_ow_lt_ob_ci_hi","mean_ob_nobs_ci_lo","mean_ob_nobs_ci_hi","mean_ow_nobs_ci_lo","mean_ow_nobs_ci_hi","mean_log_ratio_ci_lo","mean_log_ratio_ci_hi"
100,1,0.5,0.3,0.5,0.5,50,1,0.02,0.98,0,7010.96,1637,2890.58225163537,0,50,1.34383656414251,NA,1,0.00353925927164624,0.104954435896378,0.895045564103622,0.996460740728354,6189.46561353346,7832.45438646654,1637,1637,NA,NA
100,1,0.5,0.3,0.5,1,50,1,0,1,0,14798.92,1637,6063.60740557794,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,13075.6618423741,16522.1781576259,1637,1637,NA,NA
100,1,0.5,0.3,0.5,1.5,50,1,0,1,0,31392.06,1637,12456.8584721962,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,27851.8599928465,34932.2600071535,1637,1637,NA,NA
100,1,0.5,0.3,1,0.5,50,1,0.04,0.88,0.08,9803.68,4012,4452.77044894753,0,50,1.79228882015508,0.633528524427966,2,0.0110388843276198,0.13460090687507,0.76195182616797,0.943823998490677,8538.2166401648,11069.1433598352,4012,4012,-3.89973913924354,7.4843167795537
100,1,0.5,0.3,1,1,50,1,0.02,0.96,0.02,19043.98,4012,8555.47557449113,0,50,0.448111422717755,NA,1,0.00353925927164624,0.104954435896378,0.86539909312493,0.98896111567238,16612.5407444591,21475.4192555409,4012,4012,NA,NA
100,1,0.5,0.3,1,1.5,50,1,0,1,0,39500.82,4012,16088.5548223904,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,34928.503310006,44073.136689994,4012,4012,NA,NA
100,1,0.5,0.3,3,0.5,50,1,0.36,0.3,0.34,16176.36,15397,9194.99460278831,0,50,0.921352907804489,0.775812170402606,18,0.241387496518467,0.498589831238873,0.191035535008809,0.437503504644534,13563.1714475874,18789.5485524126,15397,15397,0.535550591912525,1.30715522369645
100,1,0.5,0.3,3,1,50,1,0.12,0.72,0.16,32435.5,15174.52,22818.4622129824,1100.99046762264,50,0.82179633110683,0.595829892507432,6,0.0561760015093228,0.23804817383203,0.583348763040434,0.825258293340888,25950.5647918223,38920.4352081777,14861.6219711709,15487.4180288291,0.196511206594138,1.44708145561952
100,1,0.5,0.3,3,1.5,50,1,0,1,0,52569.34,11169.88,28217.9415285122,2399.55309308434,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,44549.8897490345,60588.7902509655,10487.9345563504,11851.8254436496,NA,NA
100,1,0.5,0.3,5,0.5,50,1,0.44,0.2,0.36,21161.98,24106,12094.3443950687,0,50,1.05950055304019,0.836128981543947,22,0.311621992112572,0.576939719783431,0.112437500157761,0.330371059322254,17724.8053536391,24599.1546463609,24106,24106,0.688781730864327,1.43021937521605
