"mu","sigma","item_overlap","class_overlap","gamma","n_preferred","frac_detected","frac_ob_lt_ow","frac_ow_lt_ob","mean_ob_nobs","mean_ow_nobs","mean_log_ratio"
30,1.5,0.5,0.3,100,50,1,1,0,1,6,1.79175946922805
60,1.5,0.5,0.3,100,50,1,1,0,1,6,1.79175946922805
100,1.5,0.5,0.3,100,50,1,1,0,1,6,1.79175946922805
10,0.5,0.6,0.3,100,50,1,1,0,1,6,1.79175946922805
30,0.5,0.6,0.3,100,50,1,1,0,1,6,1.79175946922805
60,0.5,0.6,0.3,100,50,1,1,0,1,6,1.79175946922805
100,0.5,0.6,0.3,100,50,1,1,0,1,6.54,1.86474318868752
10,1,0.6,0.3,100,50,1,1,0,1,6,1.79175946922805
30,1,0.6,0.3,100,50,1,1,0,1,6,1.79175946922805
60,1,0.6,0.3,100,50,1,1,0,1,6,1.79175946922805
100,1,0.6,0.3,100,50,1,1,0,1,6.24,1.82419667787671
10,1.5,0.6,0.3,100,50,1,1,0,1,6,1.79175946922805
30,1.5,0.6,0.3,100,50,1,1,0,1,6,1.79175946922805
60,1.5,0.6,0.3,100,50,1,1,0,1,6,1.79175946922805
100,1.5,0.6,0.3,100,50,1,1,0,1,6,1.79175946922805
10,0.5,0.7,0.3,100,50,1,1,0,1,6,1.79175946922805
30,0.5,0.7,0.3,100,50,1,1,0,1,6,1.79175946922805
60,0.5,0.7,0.3,100,50,1,1,0,1,6.72,1.88907109517401
100,0.5,0.7,0.3,100,50,1,1,0,1,8.88,2.18100597301189
10,1,0.7,0.3,100,50,1,1,0,1,6,1.79175946922805
30,1,0.7,0.3,100,50,1,1,0,1,6,1.79175946922805
60,1,0.7,0.3,100,50,1,1,0,1,6.3,1.83230598003887
100,1,0.7,0.3,100,50,1,1,0,1,8.16,2.08369434706593
10,1.5,0.7,0.3,100,50,1,1,0,1,6,1.79175946922805
30,1.5,0.7,0.3,100,50,1,1,0,1,6,1.79175946922805
60,1.5,0.7,0.3,100,50,1,1,0,1,6.06,1.79986877139022
100,1.5,0.7,0.3,100,50,1,1,0,1,6.9,1.9133990016605
10,0.5,0.5,0.4,100,50,1,1,0,1,6,1.79175946922805
30,0.5,0.5,0.4,100,50,1,1,0,1,6,1.79175946922805
60,0.5,0.5,0.4,100,50,1,1,0,1,6,1.79175946922805
100,0.5,0.5,0.4,100,50,1,1,0,1,6,1.79175946922805
10,1,0.5,0.4,100,50,1,1,0,1,6,1.79175946922805
30,1,0.5,0.4,100,50,1,1,0,1,6,1.79175946922805
60,1,0.5,0.4,100,50,1,1,0,1,6,1.79175946922805
100,1,0.5,0.4,100,50,1,1,0,1,6,1.79175946922805
10,1.5,0.5,0.4,100,50,1,1,0,1,6,1.79175946922805
30,1.5,0.5,0.4,100,50,1,1,0,1,6,1.79175946922805
60,1.5,0.5,0.4,100,50,1,1,0,1,6,1.79175946922805
100,1.5,0.5,0.4,100,50,1,1,0,1,6,1.79175946922805
10,0.5,0.6,0.4,100,50,1,1,0,1,6,1.79175946922805
30,0.5,0.6,0.4,100,50,1,1,0,1,6,1.79175946922805
60,0.5,0.6,0.4,100,50,1,1,0,1,6.06,1.79986877139022
100,0.5,0.6,0.4,100,50,1,1,0,1,6.42,1.8485245843632
10,1,0.6,0.4,100,50,1,1,0,1,6,1.79175946922805
30,1,0.6,0.4,100,50,1,1,0,1,6,1.79175946922805
60,1,0.6,0.4,100,50,1,1,0,1,6.06,1.79986877139022
100,1,0.6,0.4,100,50,1,1,0,1,6.18,1.81608737571454
10,1.5,0.6,0.4,100,50,1,1,0,1,6,1.79175946922805
30,1.5,0.6,0.4,100,50,1,1,0,1,6,1.79175946922805
60,1.5,0.6,0.4,100,50,1,1,0,1,6,1.79175946922805
100,1.5,0.6,0.4,100,50,1,1,0,1,6,1.79175946922805
10,0.5,0.7,0.4,100,50,1,1,0,1,6,1.79175946922805
30,0.5,0.7,0.4,100,50,1,1,0,1,6,1.79175946922805
60,0.5,0.7,0.4,100,50,1,1,0,1,6.6,1.87285249084969
100,0.5,0.7,0.4,100,50,1,1,0,1,8.88,2.18100597301189
10,1,0.7,0.4,100,50,1,1,0,1,6,1.79175946922805
30,1,0.7,0.4,100,50,1,1,0,1,6,1.79175946922805
